,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),TOTAL DEMAND
193,2021/08/13,8.1,17.6,0.0,1.2,10.1,NW,33.0,13:04,11.8,73.0,1.0,N,15,1026.9,17.1,44,3.0,W,9,1025.1,5088.27
293,2021/11/21,11.8,17.2,0.0,5.4,9.1,SSW,39.0,15:00,14.2,60.0,7.0,S,11,1020.4,16.9,59,2.0,S,19,1020.2,3615.27
144,2021/06/25,10.6,13.2,0.6,2.4,0.3,N,37.0,00:05,11.0,88.0,7.0,N,13,1010.3,12.6,94,7.0, ,Calm,1011.1,5722.63
398,2022/03/06,16.6,21.8,4.8,3.2,1.3,ESE,46.0,14:14,17.4,80.0,8.0,S,15,1016.0,20.4,67,7.0,SE,20,1016.4,3989.58
400,2022/03/08,15.4,20.7,2.0,5.8,3.3,SSE,39.0,11:18,17.4,70.0,7.0,SSE,17,1018.4,18.9,69,7.0,S,17,1017.8,4350.79
246,2021/10/05,11.5,17.4,2.2,5.4,5.7,NNW,54.0,00:31,12.0,61.0,7.0,W,15,1008.1,15.8,50,4.0,SW,15,1011.0,4683.1
85,2021/04/27,11.8,16.6,0.6,2.0,0.9,W,19.0,08:57,13.4,87.0,7.0,WSW,9,1029.5,16.3,73,7.0,SSW,11,1026.7,5217.38
105,2021/05/17,10.2,15.4,0.4,0.6,7.1,SW,30.0,01:39,11.8,85.0,2.0,WSW,9,1024.7,14.2,53,6.0,SSW,11,1025.4,5306.82
140,2021/06/21,3.9,15.4,0.2,0.4,9.1,N,26.0,12:22,6.3,94.0,1.0,NE,7,1028.7,14.6,51,1.0,N,15,1025.8,5745.37
13,2021/02/14,12.7,20.0,0.0,4.0,8.1,SSW,35.0,13:52,17.8,56.0,7.0,SE,9,1019.5,19.3,58,6.0,SSW,19,1019.3,3877.53
219,2021/09/08,9.7,20.8,0.0,1.4,11.0,NNW,41.0,17:10,12.4,63.0,0.0,N,11,1031.0,19.9,48,1.0,N,20,1025.8,4515.55
162,2021/07/13,8.9,14.4,0.4,2.4,2.4,N,37.0,11:20,10.7,84.0,7.0,N,11.0,1014.2,13.8,69,7.0,N,19,1011.7,5709.07
279,2021/11/07,12.9,16.5,15.4,5.2,0.0,SSW,28.0,02:22,13.7,83.0,7.0,SSE,9,1010.7,15.4,65,7.0,SSW,13,1009.9,3955.91
141,2021/06/22,3.7,16.3,0.0,2.0,1.9,NNE,28.0,13:37,5.6,91.0,7.0,NNE,6,1029.6,14.4,56,7.0,NNE,13,1026.2,5794.85
353,2022/01/20,12.9,30.4,0.0,10.0,13.6,ESE,31.0,23:26,18.8,57.0,0.0,NNE,4,1027.7,27.1,39,1.0,SSW,9,1024.9,4662.52
314,2021/12/12,10.4,28.7,0.0,6.2,13.0,ESE,28.0,18:27,16.3,63.0,1.0,NE,6,1017.9,26.4,33,1.0,ENE,9,1013.5,3801.32
175,2021/07/26,8.1,16.4,0.0,1.0,2.9,NNW,43.0,10:41,12.4,75.0,7.0,N,13.0,1010.9,15.8,62,7.0,NNW,20,1009.7,5479.98
351,2022/01/18,17.1,21.3,0.0,7.6,6.1,SSW,39.0,14:20,18.3,58.0,7.0,SSE,9,1016.5,20.3,53,6.0,S,17,1016.7,4346.9
100,2021/05/12,7.3,18.5,0.8,2.6,8.8,SSE,24.0,03:04,11.0,84.0,3.0,NNE,7,1024.8,17.9,52,1.0, ,Calm,1019.6,4996.51
197,2021/08/17,9.8,13.9,0.4,2.0,3.3,SSW,30.0,11:13,11.0,87.0,7.0,W,9,1025.5,12.7,79,7.0,S,15,1024.8,5408.44
103,2021/05/15,7.3,12.9,7.4,2.4,7.5,SSW,54.0,04:25,8.6,72.0,4.0,W,13,1018.1,11.9,59,6.0,SSW,11,1020.5,4801.0
114,2021/05/26,11.9,14.7,5.0,3.4,1.4,WNW,39.0,05:45,13.1,60.0,7.0,WNW,11,1016.9,13.9,53,7.0,W,11,1019.7,5234.35
217,2021/09/06,9.1,15.5,1.0,1.8,10.4,SSW,33.0,03:58,11.9,67.0,2.0,SW,9,1030.9,14.8,51,1.0,S,9,1030.1,4612.08
280,2021/11/08,12.0,17.4,0.2,2.4,7.9,SSE,28.0,10:53,13.2,69.0,7.0,SSE,9,1012.5,16.5,41,5.0,SSW,13,1012.7,4369.58
348,2022/01/15,18.8,24.2,6.0,9.0,5.0,SSW,30.0,17:08,19.7,70.0,8.0,WSW,9,1004.4,23.3,66,7.0,SSW,11,1005.6,4454.48
165,2021/07/16,10.9,15.2,0.2,0.8,2.4,NNW,41.0,12:08,11.1,75.0,7.0,N,17.0,989.7,13.8,60,5.0,WNW,6,989.0,5516.16
192,2021/08/12,8.1,16.6,2.8,4.4,4.7,NNW,31.0,10:24,10.6,71.0,7.0,N,11,1025.2,15.4,50,7.0,W,13,1024.3,5245.86
225,2021/09/14,5.5,14.1,0.2,2.4,8.5,SSW,31.0,14:41,11.1,74.0,3.0,N,2,1027.8,13.4,57,5.0,SSW,17,1025.8,5016.96
128,2021/06/09,7.8,14.7,4.0,1.6,0.5,S,67.0,23:47,9.7,83.0,7.0,SSW,4,1010.7,12.3,86,8.0,S,20,1008.8,5776.99
327,2021/12/25,16.9,21.7,0.0,6.8,6.1,SSW,39.0,16:42,17.8,70.0,7.0,S,9,1016.8,20.5,60,2.0,S,15,1015.7,3446.63
109,2021/05/21,6.2,17.7,0.0,1.6,8.9,NNE,15.0,08:39,7.2,100.0,1.0,NNE,11,1031.9,16.4,44,1.0,SSW,7,1028.6,5379.45
395,2022/03/03,17.5,30.5,0.0,3.6,12.1,SW,24.0,16:26,21.3,79.0,0.0, ,Calm,1014.0,28.3,46,1.0,SSW,9,1012.3,5488.52
374,2022/02/10,17.3,22.7,0.0,5.2,6.8,S,39.0,18:52,19.5,69.0,7.0,SW,9,1014.5,21.9,54,4.0,S,15,1015.8,4614.94
306,2021/12/04,12.5,18.8,0.0,6.8,2.7,SSE,37.0,14:03,15.1,59.0,6.0,WSW,9,1019.6,17.3,64,7.0,S,19,1019.4,3842.75
171,2021/07/22,5.1,11.8,0.6,2.6,0.1,NNW,46.0,14:11,7.8,88.0,7.0,N,17.0,1015.8,10.5,66,7.0,N,22,1010.7,6063.89
66,2021/04/08,15.4,29.3,0.0,4.6,4.9,NNW,43.0,14:36,20.5,73.0,1.0,N,9,1011.0,28.9,25,7.0,NNW,17,1005.0,4791.56
329,2021/12/27,13.9,23.3,0.2,5.8,9.7,ESE,43.0,19:01,15.6,64.0,7.0,SSE,15,1022.7,22.0,39,5.0,SE,19,1019.5,3266.12
0,2021/02/01,13.4,20.3,0.0,7.4,1.6,S,33.0,21:08,16.9,76.0,7.0,N,7,1012.8,19.4,69,7.0,S,13,1011.9,4677.07
88,2021/04/30,9.5,24.4,0.0,0.0,10.2,N,30.0,12:05,12.5,83.0,1.0,NNE,13,1027.0,23.9,32,0.0,N,15,1024.0,4898.57
336,2022/01/03,16.8,20.3,0.0,10.0,10.5,S,41.0,12:30,18.8,57.0,6.0,SSE,11,1013.6,19.7,53,1.0,SSW,19,1013.2,3652.58
17,2021/02/18,18.1,31.8,0.0,11.4,12.4,N,46.0,08:26,22.9,44.0,0.0,N,26,1022.6,30.0,32,1.0,NNE,9,1019.2,5538.17
328,2021/12/26,15.1,18.8,0.0,8.0,2.7,S,39.0,18:35,15.6,66.0,8.0,SSE,13,1020.3,18.1,54,7.0,S,17,1020.1,3277.12
74,2021/04/16,11.5,15.1,1.0,4.2,1.3,SSW,24.0,10:53,12.3,75.0,7.0,NNE,6,1024.2,14.5,56,7.0,S,7,1023.9,5055.71
389,2022/02/25,18.0,21.7,0.0,4.8,5.8,SSW,37.0,16:53,18.4,67.0,8.0,SSE,7,1020.5,20.5,65,3.0,SSW,19,1018.7,4442.97
204,2021/08/24,6.4,13.1,10.4,4.0,6.2,S,39.0,09:38,10.8,53.0,7.0,SSE,17,1021.5,11.7,55,6.0,S,17,1021.6,5228.87
41,2021/03/14,11.0,17.7,17.2,7.4,10.0,SW,31.0,02:19,11.9,71.0,1.0,W,7,1021.1,17.2,49,5.0,S,15,1021.8,3899.08
86,2021/04/28,7.4,16.9,0.4,3.0,9.5,SSW,22.0,15:03,12.3,87.0,1.0, ,Calm,1026.4,14.8,70,5.0,S,13,1023.9,5135.79
32,2021/03/05,15.0,18.0,1.4,4.4,3.6,S,35.0,00:36,15.8,55.0,7.0,S,13,1015.1,17.1,53,7.0,SSW,20,1015.7,4542.26
138,2021/06/19,9.1,16.2,2.2,1.6,4.0,SE,28.0,10:38,11.4,100.0,7.0,S,6,1024.5,13.4,86,6.0,SSW,13,1025.1,4900.7
178,2021/07/29,6.7,15.4,0.8,3.4,7.8,NNW,41.0,14:41,8.7,67.0,6.0,NNW,19.0,1013.5,14.9,52,1.0,NNW,17,1013.5,5536.56
48,2021/03/21,16.7,21.7,1.2,3.0,0.0,ESE,17.0,16:34,18.9,96.0,8.0,S,2,1022.6,21.5,86,8.0, ,Calm,1020.0,4273.27
95,2021/05/07,10.5,21.5,0.2,2.4,3.6,NE,15.0,06:35,13.9,91.0,4.0,N,7,1014.8,20.2,37,6.0, ,Calm,1011.3,5016.13
62,2021/04/04,15.2,24.5,0.0,8.6,10.1,S,35.0,14:18,22.9,50.0,0.0,NNW,11,1018.5,20.0,72,1.0,S,15,1018.0,4060.35
163,2021/07/14,9.8,13.9,2.2,3.0,0.5,N,44.0,05:56,10.3,84.0,7.0,N,13.0,1005.0,13.4,73,7.0,N,24,1000.8,5794.0
110,2021/05/22,3.6,19.2,0.0,3.0,9.3,N,35.0,12:19,6.8,77.0,1.0,NNE,7,1027.0,18.9,36,0.0,N,13,1023.6,4845.72
64,2021/04/06,12.8,20.2,0.0,4.0,4.4,SSW,26.0,12:38,16.2,64.0,7.0,SE,9,1023.7,19.6,59,6.0,SSW,11,1021.5,4470.84
113,2021/05/25,10.6,20.9,0.0,5.6,3.2,N,57.0,12:48,18.4,50.0,6.0,NNE,20,1015.3,15.5,76,8.0,N,22,1009.6,4975.75
299,2021/11/27,11.4,21.6,0.0,5.8,12.8,SSE,46.0,09:05,15.4,58.0,1.0,SE,22,1023.8,20.7,39,3.0,ESE,20,1021.3,3465.39
321,2021/12/19,15.2,23.1,0.0,8.6,4.2,SW,65.0,13:47,18.5,82.0,7.0,NNE,9,1001.8,15.4,82,7.0,W,20,1004.5,3911.59
256,2021/10/15,9.3,17.1,0.6,4.6,5.0,W,44.0,12:56,12.2,76.0,4.0,WNW,7,1004.1,12.8,76,7.0,WNW,11,1001.7,4738.88
331,2021/12/29,11.9,22.4,0.0,8.0,13.7,SSW,30.0,16:33,17.6,68.0,3.0,W,6,1019.6,21.6,59,1.0,SSW,9,1016.5,3838.61
84,2021/04/26,10.9,17.9,1.2,2.2,0.8,SSW,20.0,10:50,13.6,83.0,7.0,SW,6,1027.9,16.1,68,7.0,S,9,1027.1,5093.54
176,2021/07/27,10.1,17.1,0.0,3.4,4.3,N,67.0,21:40,11.1,67.0,2.0,N,19.0,1011.1,16.4,48,7.0,N,26,1003.7,5209.82
397,2022/03/05,17.3,22.2,37.8,10.0,1.5,SSW,37.0,15:06,17.5,94.0,7.0, ,Calm,1006.9,21.1,77,7.0,SSE,13,1007.5,4454.08
115,2021/05/27,9.8,15.0,0.4,1.6,0.6,W,33.0,14:15,11.3,94.0,7.0,SSW,4,1025.9,14.2,73,7.0,WSW,11,1025.3,5311.34
238,2021/09/27,5.1,19.4,0.0,3.8,11.2,N,43.0,09:17,13.1,55.0,5.0,NNE,9,1023.1,18.5,36,5.0,N,15,1018.2,4489.43
392,2022/02/28,18.9,23.9,0.0,4.8,3.7,SSW,26.0,20:05,19.9,78.0,8.0,SSE,6,1014.3,22.3,71,6.0,SSW,7,1012.8,4919.1
311,2021/12/09,12.2,17.7,1.8,5.0,0.2,SE,43.0,11:08,15.1,74.0,7.0,SSE,13,1017.5,16.8,65,8.0,SSE,19,1017.4,4678.31
188,2021/08/08,5.8,16.4,0.6,1.2,5.5,N,17.0,08:51,7.2,100.0,1.0,N,11,1032.6,14.6,58,7.0,S,6,1029.3,4812.15
260,2021/10/19,9.2,16.4,0.8,2.6,5.0,S,35.0,14:44,12.7,68.0,7.0,SSW,13,1022.5,14.6,70,7.0,SSW,15,1022.0,4626.27
247,2021/10/06,8.2,21.6,0.2,4.4,8.6,NNW,39.0,14:34,12.4,68.0,1.0,N,11,1014.8,21.3,37,5.0,NNW,19,1009.8,4403.2
303,2021/12/01,18.5,32.4,0.0,11.4,5.2,WSW,43.0,15:17,23.3,48.0,7.0,NNE,11,1012.4,30.5,34,4.0,N,13,1010.6,5072.66
259,2021/10/18,9.9,16.9,0.0,2.0,0.9,SSW,35.0,20:15,15.5,57.0,8.0,WNW,9,1013.3,16.1,59,8.0,S,11,1013.6,4867.07
97,2021/05/09,11.0,20.5,0.4,0.0,7.1,NW,28.0,13:06,13.7,97.0,6.0, ,Calm,1018.4,19.5,45,3.0,WNW,6,1014.9,4138.75
208,2021/08/28,5.3,17.8,0.0,1.6,9.6,N,39.0,13:14,9.1,80.0,1.0,N,7,1018.6,17.4,31,3.0,NNW,24,1013.5,4356.35
98,2021/05/10,11.7,16.9,0.2,3.8,0.5,N,41.0,13:18,14.3,68.0,7.0,N,19,1010.2,16.2,56,7.0,NNW,13,1007.6,4963.93
387,2022/02/23,15.1,32.0,0.0,6.4,9.4,SSE,31.0,17:24,19.8,69.0,2.0, ,Calm,1018.0,30.1,41,5.0,SSW,9,1014.9,5225.15
3,2021/02/04,13.5,30.6,0.0,6.6,4.1,NNW,43.0,12:58,17.3,72.0,7.0,NE,7,1005.5,29.2,32,7.0,N,28,1002.7,4952.52
378,2022/02/14,17.8,31.6,0.0,12.6,12.2,NW,46.0,10:15,23.4,46.0,3.0,SSW,2,1019.8,22.4,69,1.0,SSW,19,1019.8,5337.33
252,2021/10/11,7.4,14.4,0.4,4.0,4.4,SSW,33.0,08:46,9.8,77.0,5.0,WSW,11,1019.5,12.9,57,5.0,S,17,1018.9,4716.47
269,2021/10/28,15.4,28.3,0.2,9.2,5.4,NE,50.0,21:49,16.9,77.0,7.0, ,Calm,1010.5,27.5,40,7.0,N,11,1003.1,4437.56
270,2021/10/29,11.3,15.5,5.0,8.2,6.4,N,76.0,05:13,12.4,69.0,7.0,W,15,1002.5,13.3,63,6.0,SW,13,1011.1,4209.37
385,2022/02/21,13.7,20.3,1.6,5.8,11.3,S,35.0,23:25,16.3,65.0,1.0,SW,9,1012.4,19.1,45,6.0,S,13,1013.8,4258.16
145,2021/06/26,10.0,13.4,5.6,0.2,4.6,NNW,28.0,22:26,10.5,79.0,3.0,W,9,1019.9,12.4,56,3.0,WSW,9,1020.1,5037.12
254,2021/10/13,9.9,18.8,0.0,3.6,3.1,SW,43.0,21:18,14.1,68.0,7.0,NNE,11,1011.8,18.3,56,7.0,NNE,17,1007.4,4592.06
196,2021/08/16,11.0,14.4,0.2,6.6,2.8,WNW,44.0,12:45,12.2,70.0,7.0,WNW,13,1022.8,14.2,62,7.0,WSW,17,1022.8,5063.75
180,2021/07/31,9.9,18.1,0.0,7.0,6.3,N,54.0,01:23,13.1,54.0,1.0,N,20.0,1006.1,17.1,48,6.0,N,22,1002.0,4611.14
381,2022/02/17,17.1,24.3,0.0,4.0,2.4,S,28.0,18:48,17.8,73.0,7.0,WSW,7,1012.6,22.6,53,7.0,S,13,1011.4,4555.61
399,2022/03/07,15.9,23.1,0.0,2.8,8.1,SSE,37.0,01:10,18.4,72.0,2.0,ESE,6,1015.6,22.2,64,4.0,SW,13,1013.0,4535.64
237,2021/09/26,5.0,15.4,0.2,2.4,9.7,SSW,31.0,14:48,11.8,57.0,1.0,SE,7,1028.2,14.1,52,1.0,SSW,17,1024.8,4083.38
240,2021/09/29,12.6,19.3,0.0,5.2,0.8,SE,33.0,17:37,13.7,77.0,7.0, ,Calm,1015.2,18.7,60,7.0,S,7,1011.1,4634.31
172,2021/07/23,7.8,11.3,0.0,0.6,1.5,N,31.0,01:36,8.2,80.0,7.0,N,7.0,1006.8,10.9,64,7.0,N,13,1003.6,6001.35
305,2021/12/03,13.0,20.4,8.8,7.0,11.7,S,33.0,17:39,15.9,66.0,1.0,SSW,9,1020.0,19.2,53,4.0,SSW,13,1018.7,4249.22
69,2021/04/11,8.1,14.5,3.4,5.2,6.1,S,56.0,12:02,9.8,75.0,4.0,WNW,11,1014.8,14.1,56,5.0,SSW,19,1016.9,4389.78
319,2021/12/17,9.9,30.8,0.0,6.8,10.2,NNE,30.0,14:34,16.9,59.0,1.0,N,7,1014.4,29.3,30,6.0,SSW,7,1009.3,4633.92
365,2022/02/01,19.8,23.6,0.0,9.6,8.4,SSW,50.0,18:28,20.5,73.0,3.0,SW,9,1003.4,22.0,62,6.0,S,17,1003.3,4768.11
362,2022/01/29,17.5,21.8,38.6,5.4,0.3,S,30.0,14:12,18.8,96.0,7.0,SSE,7,1017.5,21.0,70,7.0,S,17,1017.0,4397.5
394,2022/03/02,19.7,29.6,6.0,0.6,4.4,SSE,22.0,16:38,21.0,87.0,7.0,NNE,6,1013.4,27.6,49,6.0,S,4,1011.4,5288.13
320,2021/12/18,16.6,33.5,0.0,12.8,11.0,N,46.0,08:51,28.2,32.0,4.0,N,15,1004.1,21.5,64,4.0,S,22,1007.2,4463.13
359,2022/01/26,19.6,36.0,0.0,9.2,10.5,NW,46.0,19:32,24.0,67.0,1.0, ,Calm,1010.0,35.2,35,2.0,WSW,6,1006.1,5775.81
72,2021/04/14,11.5,20.8,0.0,7.8,6.8,N,43.0,01:40,18.0,46.0,1.0,NW,13,1010.9,20.1,46,7.0,WSW,11,1011.1,4586.08
90,2021/05/02,13.7,26.0,0.0,6.4,3.8,N,39.0,14:18,17.5,59.0,7.0,NNE,7,1023.3,25.3,36,2.0,N,20,1018.9,4061.56
168,2021/07/19,9.1,13.0,0.0,1.8,2.9,NNW,31.0,14:00,10.4,72.0,7.0,N,13.0,1016.2,12.2,72,7.0,N,11,1012.5,5739.95
59,2021/04/01,12.4,29.9,0.0,4.4,10.8,NNW,20.0,11:49,14.4,86.0,1.0,NE,9,1024.3,28.7,30,3.0,SE,7,1021.6,4794.32
20,2021/02/21,17.9,20.6,0.0,6.0,0.0,S,30.0,20:43,18.1,87.0,8.0,ESE,6,1011.4,19.0,75,8.0,SSW,13,1010.6,4417.7
65,2021/04/07,14.9,23.0,0.0,3.2,4.9,SSW,20.0,16:55,15.8,82.0,8.0, ,Calm,1020.2,21.6,61,1.0,SSW,9,1015.8,4725.88
330,2021/12/28,11.4,22.6,0.0,8.0,11.9,SSW,41.0,14:46,15.0,62.0,1.0,N,7,1021.9,21.8,49,2.0,SSW,15,1018.5,3333.95
26,2021/02/27,11.3,18.6,0.0,6.0,1.0,SSW,20.0,17:50,13.5,71.0,7.0,NNE,6,1013.4,17.8,62,7.0,SSW,9,1012.8,4309.07
367,2022/02/03,13.3,18.2,1.2,4.2,2.2,SSW,39.0,09:20,16.7,53.0,7.0,S,15,1014.9,17.1,56,7.0,SSW,19,1016.4,4337.31
277,2021/11/05,13.3,22.9,0.0,3.8,7.9,SSW,24.0,14:09,17.2,79.0,7.0, ,Calm,1021.7,21.5,70,2.0,SSW,9,1016.1,4351.62
337,2022/01/04,16.2,23.1,0.0,7.6,0.5,SSE,43.0,20:06,18.5,73.0,8.0,S,9,1013.2,20.8,73,8.0,SW,9,1012.1,4216.63
333,2021/12/31,16.6,37.7,0.0,11.4,12.8,NNW,46.0,10:51,27.5,42.0,0.0,N,9,1010.1,36.2,19,1.0,NNW,19,1007.0,5246.91
380,2022/02/16,16.4,25.8,0.0,5.6,2.4,SSW,19.0,11:50,18.5,75.0,7.0, ,Calm,1016.2,22.1,69,7.0,S,7,1012.2,5016.35
54,2021/03/27,13.2,21.3,3.4,3.8,4.1,NW,31.0,14:21,14.9,88.0,7.0,NNW,7,1010.8,19.9,44,2.0,WNW,7,1010.6,4148.3
313,2021/12/11,12.6,22.4,0.0,4.6,8.6,SE,35.0,18:54,16.7,65.0,5.0,SE,13,1018.9,21.5,47,7.0,SE,17,1016.8,3823.86
266,2021/10/25,10.4,15.2,0.8,4.4,5.1,SSW,39.0,12:51,12.1,63.0,7.0,SSW,13,1021.7,14.3,54,6.0,S,19,1020.9,4599.85
401,2022/03/09,14.6,22.0,0.0,4.0,11.1,S,43.0,16:00,16.5,64.0,1.0,SE,17,1021.1,20.9,45,4.0,S,20,1019.6,4206.54
200,2021/08/20,8.7,17.3,0.8,3.6,3.2,N,50.0,14:27,11.3,80.0,6.0,NNE,11,1016.7,16.7,51,3.0,N,28,1012.1,5231.77
275,2021/11/03,16.5,25.1,0.0,12.6,0.1,NNW,52.0,09:39,23.8,42.0,7.0,N,20,1015.3,19.0,88,8.0,NNE,11,1016.8,4639.16
234,2021/09/23,10.0,21.5,0.0,2.8,11.4,NNW,35.0,16:27,12.7,80.0,2.0,WNW,6,1020.2,19.9,42,1.0,S,7,1014.5,4360.88
81,2021/04/23,12.1,17.3,0.4,3.0,2.0,WSW,31.0,09:24,14.7,66.0,7.0,W,11,1018.6,16.4,51,7.0,WSW,9,1018.5,5013.69
119,2021/05/31,3.0,16.1,0.0,2.2,9.1,NNE,31.0,15:39,5.7,76.0,0.0,NNE,11,1025.2,15.7,48,2.0,NNE,17,1021.6,5462.06
2,2021/02/03,13.7,25.9,0.0,5.4,13.1,SE,33.0,16:58,16.5,66.0,5.0,SSE,11,1016.5,24.1,44,2.0,SE,7,1011.1,4420.83
99,2021/05/11,10.7,16.3,15.8,2.8,0.1,S,41.0,04:50,12.2,100.0,8.0,SSW,9,1018.7,15.7,71,7.0,SE,17,1021.3,5169.06
322,2021/12/20,12.2,28.6,1.8,6.8,12.9,NNW,39.0,07:26,16.7,50.0,1.0,NW,15,1014.2,26.8,35,3.0,NNW,15,1011.8,4046.54
390,2022/02/26,18.4,29.1,0.0,4.8,10.8,SE,35.0,18:08,19.8,74.0,5.0,ESE,7,1018.2,28.2,45,3.0,SE,11,1015.0,4292.37
79,2021/04/21,7.1,14.9,10.4,0.2,7.7,N,19.0,23:00,10.0,65.0,1.0,NW,2,1019.2,14.2,48,6.0,S,7,1015.4,5143.59
14,2021/02/15,14.4,24.6,0.0,5.6,9.2,SSE,22.0,07:37,17.0,73.0,7.0,SSE,9,1022.0,23.0,54,7.0,SSW,11,1019.6,4451.89
357,2022/01/24,20.2,33.7,0.0,10.8,10.6,SE,31.0,17:40,25.3,52.0,6.0,NNE,9,1011.4,32.3,36,3.0,SSW,9,1007.3,6050.81
307,2021/12/05,10.2,21.5,0.0,3.4,13.0,WSW,30.0,13:12,14.8,47.0,1.0,SE,13,1022.2,18.0,56,6.0,SSW,15,1018.9,3633.35
161,2021/07/12,5.9,16.1,0.0,3.0,5.1,N,50.0,12:55,11.4,71.0,7.0,N,13.0,1018.1,15.8,44,1.0,N,24,1013.6,5559.84
245,2021/10/04,11.8,18.1,1.0,3.0,8.0,W,63.0,13:24,13.1,63.0,7.0,N,15,999.4,13.6,55,4.0,NW,13,999.3,4341.18
92,2021/05/04,9.4,15.5,30.8,4.6,0.1,S,39.0,14:46,12.0,100.0,7.0, ,Calm,1019.9,14.4,78,8.0,S,19,1021.5,5247.58
121,2021/06/02,9.2,19.6,0.0,3.2,7.7,NNW,33.0,13:14,12.4,63.0,1.0,N,9,1018.8,19.0,44,5.0,N,11,1015.2,5209.58
10,2021/02/11,17.2,32.8,0.0,8.0,5.5,N,46.0,12:20,24.3,58.0,6.0,NNE,9,1008.7,31.8,31,7.0,N,22,1004.5,5619.33
142,2021/06/23,5.6,15.3,0.0,2.7,2.1,N,46.0,10:33,13.9,63.0,8.0,N,9,1019.4,14.8,67,7.0,N,17,1012.5,5620.05
15,2021/02/16,15.9,31.3,0.0,6.2,8.3,N,33.0,09:27,20.2,67.0,7.0,NE,9,1021.6,30.2,32,5.0,ENE,7,1019.2,5104.88
91,2021/05/03,12.5,18.2,0.2,6.8,0.8,S,28.0,18:35,15.0,80.0,7.0,SW,7,1019.6,17.0,74,7.0,SSW,9,1017.6,4937.26
373,2022/02/09,19.1,30.9,0.0,9.2,4.4,SSW,39.0,17:38,22.8,43.0,8.0,N,15,1008.8,30.1,32,6.0,S,7,1006.5,4974.47
102,2021/05/14,7.8,15.6,4.2,2.4,4.5,W,35.0,11:04,11.5,71.0,3.0,NW,11,1014.5,13.5,67,3.0,WSW,6,1013.6,5182.52
53,2021/03/26,11.2,22.0,0.2,2.8,6.5,N,33.0,12:05,13.3,77.0,1.0,NE,9,1013.7,20.4,46,7.0,NNW,17,1011.0,4613.95
267,2021/10/26,6.3,18.1,0.0,2.2,11.7,SSW,24.0,14:33,11.8,70.0,1.0,NE,6,1021.4,17.4,53,1.0,SSW,15,1017.9,4411.49
167,2021/07/18,8.5,14.2,4.2,1.0,3.0,WNW,28.0,01:03,10.4,83.0,3.0,NW,9.0,1014.5,13.0,65,7.0,SW,7,1015.1,5030.86
382,2022/02/18,15.4,21.0,0.0,5.8,7.3,SSW,41.0,11:28,16.9,68.0,7.0,WSW,9,1014.8,19.2,55,7.0,S,13,1017.4,4289.42
149,2021/06/30,5.5,16.9,0.0,1.2,6.8,N,39.0,14:04,11.3,79.0,1.0,NNE,9,1026.8,16.8,57,1.0,N,19,1022.6,5367.66
292,2021/11/20,13.0,16.9,0.0,3.4,7.6,SSW,35.0,13:30,14.6,63.0,7.0,SSW,7,1015.2,15.8,45,4.0,S,20,1015.4,3912.04
203,2021/08/23,10.8,14.3,0.8,7.0,5.4,NW,50.0,00:12,11.2,67.0,3.0,WSW,11,1011.1,11.7,54,5.0,WSW,9,1012.2,4984.06
4,2021/02/05,17.3,29.8,0.4,7.8,8.9,NNW,52.0,10:27,24.1,62.0,7.0,NNE,19,1000.5,25.9,63,7.0,NNE,24,997.5,5020.45
135,2021/06/16,8.3,16.0,1.8,2.2,2.9,NNW,41.0,12:56,11.5,88.0,7.0,NNE,13,1011.4,15.4,60,7.0,N,15,1008.1,5505.86
87,2021/04/29,8.2,18.4,0.0,2.2,9.9,SSW,17.0,13:44,12.0,83.0,1.0, ,Calm,1025.1,17.5,66,2.0,SSW,9,1022.9,5132.37
16,2021/02/17,16.6,28.8,0.0,7.4,11.9,SSW,26.0,14:37,20.1,73.0,4.0,NE,7,1021.7,27.1,52,1.0,SW,7,1020.3,5387.56
379,2022/02/15,17.9,22.5,0.0,9.8,6.7,SSW,28.0,17:48,18.4,74.0,8.0,SSE,9,1024.6,21.3,61,3.0,SW,9,1022.7,4859.47
190,2021/08/10,9.1,17.7,0.0,2.4,8.1,N,52.0,11:11,12.4,77.0,6.0,N,19,1022.4,17.5,45,6.0,N,24,1017.9,4912.91
408,2022/03/16,18.9,23.2,0.0,3.6,1.7,NNE,41.0,10:29,19.9,78.0,7.0,N,9,1018.8,22.2,58,7.0,N,19,1016.4,4832.51
409,2022/03/17,17.7,29.2,0.0,4.6,5.0,N,33.0,09:28,20.9,67.0,7.0,NNE,6,1015.2,27.8,53,5.0,NNW,11,1013.0,5101.26
308,2021/12/06,12.8,27.4,0.0,7.6,10.8,N,46.0,08:24,21.3,42.0,3.0,N,24,1014.1,26.5,40,6.0,N,24,1010.0,4451.5
198,2021/08/18,7.6,15.5,0.6,1.8,1.8,N,24.0,14:41,10.4,82.0,7.0,NW,9,1026.0,15.1,53,7.0,N,13,1021.9,5429.55
