,Date,Normalized,TOTAL DEMAND
121,2021/11/25,0.4835599530573429,4700.03
122,2021/02/20,0.6069024590937909,5065.78
123,2021/08/29,0.47546639148557324,4676.03
124,2021/10/17,0.29659530843214227,4145.62
125,2021/03/24,0.5134926416036044,4788.79
126,2021/06/13,0.515775700430308,4795.56
127,2021/07/24,0.659854585677094,5222.8
128,2021/07/04,0.7295266615407443,5429.4
129,2022/01/11,0.5477621302254058,4890.41
130,2022/01/09,0.21449287092118222,3902.16
131,2021/04/25,0.41242091915880924,4489.08
132,2021/09/30,0.523771464799752,4819.27
133,2022/02/19,0.20836874266520988,3884.0
134,2021/02/13,0.2653069483226095,4052.84
135,2021/06/04,0.6948153993498174,5326.47
136,2021/02/28,0.2692829104447413,4064.63
137,2021/04/09,0.42940390919023913,4539.44
138,2022/02/20,0.20677026425478545,3879.26
139,2022/03/11,0.42052796999986514,4513.12
140,2021/12/24,0.2699000445145887,4066.46
141,2021/09/10,0.49946717386319184,4747.2
142,2021/11/10,0.4920278418518071,4725.14
143,2022/03/10,0.35936087842121595,4331.74
144,2022/01/07,0.5221864756586135,4814.57
145,2021/03/09,0.4676763384727451,4652.93
146,2021/08/13,0.6144868007500036,5088.27
147,2021/11/21,0.1177444592826407,3615.27
148,2021/06/25,0.8284131223611618,5722.63
149,2022/03/06,0.24397366894635322,3989.58
150,2022/03/08,0.36578514291880815,4350.79
151,2021/10/05,0.4778506198319239,4683.1
152,2021/04/27,0.6580267896888027,5217.38
153,2021/05/17,0.6881887958129308,5306.82
154,2021/06/21,0.8360817719504136,5745.37
155,2021/02/14,0.2061868533581537,3877.53
156,2021/09/08,0.4213474431090069,4515.55
157,2021/07/13,0.8238402600731118,5709.07
158,2021/11/07,0.23261907652462468,3955.91
159,2021/06/22,0.8527679980575454,5794.85
160,2022/01/20,0.47091039078413144,4662.52
161,2021/12/12,0.18048642305046347,3801.32
162,2021/07/26,0.7465838425532488,5479.98
163,2022/01/18,0.36447331148071704,4346.9
164,2021/05/12,0.5835424170072708,4996.51
165,2021/08/17,0.7224582844347321,5408.44
166,2021/05/15,0.5176102410532423,4801.0
167,2021/05/26,0.6637496121835083,5234.35
168,2021/09/06,0.45390042221412874,4612.08
169,2021/11/08,0.3721217271660395,4369.58
170,2022/01/15,0.4007527012261745,4454.48
171,2021/07/16,0.7587848866226917,5516.16
172,2021/08/12,0.6676311494206358,5245.86
173,2021/09/14,0.5904388059298828,5016.96
174,2021/06/09,0.84674503932122,5776.99
175,2021/12/25,0.060873699971672614,3446.63
176,2021/05/21,0.7126819365194987,5379.45
177,2022/03/03,0.7494638015458706,5488.52
178,2022/02/10,0.45486490496809784,4614.94
179,2021/12/04,0.1944579337137308,3842.75
180,2021/07/22,0.9434968232770833,6063.89
181,2021/04/08,0.5144267735016796,4791.56
182,2021/12/27,0.0,3266.12
183,2021/02/01,0.4758171124870166,4677.07
184,2021/04/30,0.5505139411598073,4898.57
185,2022/01/03,0.13032657520942093,3652.58
186,2021/02/18,0.7662073570474689,5538.17
187,2021/12/26,0.00370954905372776,3277.12
188,2021/04/16,0.6035065355509693,5055.71
189,2022/02/25,0.39687116398904687,4442.97
190,2021/08/24,0.6619015822912874,5228.87
191,2021/03/14,0.21345419718613845,3899.08
192,2021/04/28,0.6305120526621074,5135.79
193,2021/03/05,0.43035490267492227,4542.26
194,2021/06/19,0.551232244749302,4900.7
195,2021/07/29,0.7656644139586961,5536.56
196,2021/03/21,0.33964293904199233,4273.27
197,2021/05/07,0.5901589035921926,5016.13
198,2021/04/04,0.267839558631109,4060.35
199,2021/07/14,0.8524813510852118,5794.0
200,2021/05/22,0.5326912441153064,4845.72
201,2021/04/06,0.40626981236426435,4470.84
202,2021/05/25,0.5765414862476901,4975.75
203,2021/11/27,0.06720016726693916,3465.39
204,2021/12/19,0.21767296615542348,3911.59
205,2021/10/15,0.49666140585164514,4738.88
206,2021/12/29,0.19306179434260057,3838.61
207,2021/04/26,0.6162640119784712,5093.54
208,2021/07/27,0.6554773177936951,5209.82
209,2022/03/05,0.4006178085333118,4454.08
210,2021/05/27,0.6897130832422809,5311.34
211,2021/09/27,0.4125389502650643,4489.43
212,2022/02/28,0.5574373086209922,4919.1
213,2021/12/09,0.47623527983489156,4678.31
214,2021/08/08,0.5213703748667934,4812.15
215,2021/10/19,0.4586857404934377,4626.27
216,2021/10/06,0.3834594580011601,4403.2
217,2021/12/01,0.6092226134110316,5072.66
218,2021/10/18,0.5398911415968597,4867.07
219,2021/05/09,0.29427852643222324,4138.75
220,2021/08/28,0.36766015134960156,4356.35
221,2021/05/10,0.5725554071735935,4963.93
222,2022/02/23,0.6606470802476629,5225.15
223,2021/02/04,0.5687075931096814,4952.52
224,2022/02/14,0.6984777359610431,5337.33
225,2021/10/11,0.48910404273400526,4716.47
226,2021/10/28,0.3950467403180772,4437.56
227,2021/10/29,0.3180938313571554,4209.37
228,2022/02/21,0.3345473675690988,4258.16
229,2021/06/26,0.5972373976501694,5037.12
230,2021/10/13,0.44714904293634433,4592.06
231,2021/08/16,0.6062178786775121,5063.75
232,2021/07/31,0.4535834243859012,4611.14
233,2022/02/17,0.43485694629921895,4555.61
234,2022/03/07,0.4281224286080425,4535.64
235,2021/09/26,0.2756060054226864,4083.38
236,2021/09/29,0.4613970836199805,4634.31
237,2021/07/23,0.9224063507479803,6001.35
238,2021/12/03,0.33153251588361476,4249.22
239,2021/04/11,0.3789338081556122,4389.78
240,2021/12/17,0.4612655632444392,4633.92
241,2022/02/01,0.5065186893825961,4768.11
242,2022/01/29,0.38153723712786486,4397.5
243,2022/03/02,0.6818859347389153,5288.13
244,2021/12/18,0.40366975570933333,4463.13
245,2022/01/26,0.8463471058772749,5775.81
246,2021/04/14,0.4451323971780449,4586.08
247,2021/05/02,0.26824760902701905,4061.56
248,2021/07/19,0.8342539759621221,5739.95
249,2021/04/01,0.5153575330824329,4794.32
250,2021/02/21,0.3883493181174376,4417.7
251,2021/04/07,0.49227739333360326,4725.88
252,2021/12/28,0.022874428392213972,3333.95
253,2021/02/27,0.35171583505321513,4309.07
254,2022/02/03,0.36123925916933103,4337.31
255,2021/11/05,0.36606504525649847,4351.62
256,2022/01/04,0.3205421337326158,4216.63
257,2021/12/31,0.6679852427394009,5246.91
258,2022/02/16,0.5902330945732672,5016.35
259,2021/03/27,0.2974990894743233,4148.3
260,2021/12/11,0.1880876262932838,3823.86
261,2021/10/25,0.44977607812984793,4599.85
262,2022/03/09,0.31713946555515093,4206.54
263,2021/08/20,0.662879554314543,5231.77
264,2021/11/03,0.46303265752094214,4639.16
265,2021/09/23,0.369187811096273,4360.88
266,2021/04/23,0.5893360581657291,5013.69
267,2021/05/31,0.7405406499129945,5462.06
268,2021/02/03,0.38940485343908926,4420.83
269,2021/05/11,0.6417317523909732,5169.06
270,2021/12/20,0.2631823884100199,4046.54
271,2022/02/26,0.34608406512619216,4292.37
272,2021/04/21,0.6331424601729326,5143.59
273,2021/02/15,0.39987927103988796,4451.89
