Date,Minimum temperature (°C),Maximum temperature (°C),Mean Temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Speed of maximum wind gust (km/h)
2021/04/19,12.0,20.6,16.3,0.0,2.8,2.3,30.0
2021/09/02,15.0,26.6,20.8,0.0,7.6,10.8,65.0
2022/02/22,13.0,22.5,17.75,0.0,6.4,12.5,30.0
2021/06/27,9.7,15.3,12.5,0.0,2.4,4.9,26.0
2021/08/26,5.5,12.9,9.2,1.2,2.4,1.0,31.0
2021/05/28,11.0,13.8,12.4,0.4,0.4,0.5,39.0
2021/02/09,12.0,25.2,18.6,0.0,4.0,12.7,28.0
2021/06/28,6.4,15.1,10.75,0.0,1.4,9.0,24.0
2021/06/24,9.8,16.7,13.25,0.0,1.0,5.2,41.0
2021/09/28,7.7,23.0,15.35,0.0,6.0,9.1,24.0
2021/04/10,12.9,18.3,15.600000000000001,0.2,2.8,3.9,54.0
2021/03/29,13.8,18.2,16.0,1.0,2.8,8.0,35.0
2021/12/30,14.0,34.4,24.2,0.0,6.8,12.4,28.0
2021/04/05,16.0,19.0,17.5,0.0,5.8,8.1,30.0
2022/01/21,17.1,29.6,23.35,0.0,8.8,13.5,33.0
2021/06/12,7.4,16.5,11.95,9.4,0.4,1.0,33.0
2022/02/06,14.1,27.9,21.0,0.0,8.2,12.9,33.0
2021/12/10,13.5,17.9,15.7,0.0,2.2,6.2,43.0
2021/05/16,8.3,15.5,11.9,0.2,3.0,3.2,35.0
2021/07/30,8.0,14.9,11.45,0.0,2.6,6.4,61.0
2021/05/05,7.2,17.3,12.25,0.0,0.8,9.1,30.0
2021/02/22,15.9,21.8,18.85,0.0,2.8,6.3,43.0
2022/03/15,18.3,27.5,22.9,2.0,6.2,3.6,31.0
2022/03/13,14.0,29.8,21.9,0.0,5.8,11.6,43.0
2021/10/16,11.1,16.0,13.55,26.4,1.6,3.4,54.0
2021/06/29,4.2,16.7,10.45,0.0,2.2,8.8,43.0
2021/08/27,4.6,13.6,9.1,0.0,1.2,3.8,15.0
2021/11/09,8.0,20.3,14.15,0.0,4.2,9.2,22.0
2021/09/16,4.5,16.0,10.25,0.0,3.4,9.1,19.0
2021/03/23,17.6,22.0,19.8,13.8,0.6,0.6,30.0
2022/01/16,18.3,31.9,25.1,0.0,5.8,11.6,24.0
2021/12/13,15.3,32.7,24.0,0.0,8.0,8.3,50.0
2022/03/01,19.8,25.8,22.8,0.0,3.8,1.1,20.0
2021/12/08,10.7,17.3,14.0,2.0,3.0,8.7,43.0
2021/11/25,15.4,16.7,16.05,0.0,4.2,0.0,31.0
2021/02/20,20.3,23.8,22.05,0.0,13.6,5.9,33.0
2021/08/29,9.1,16.2,12.649999999999999,0.6,6.4,4.3,33.0
2021/10/17,10.8,17.4,14.1,0.4,4.8,5.6,24.0
2021/03/24,17.0,20.3,18.65,0.6,2.2,1.7,33.0
2021/06/13,10.9,15.9,13.4,0.0,1.4,0.7,17.0
2021/07/24,7.5,14.4,10.95,0.0,1.4,3.4,48.0
2021/07/04,6.5,13.1,9.8,0.2,1.2,3.5,46.0
2022/01/11,18.5,29.7,24.1,0.0,8.0,10.8,35.0
2022/01/09,16.1,21.9,19.0,0.0,2.4,9.7,30.0
2021/04/25,9.9,17.8,13.850000000000001,2.6,1.2,3.6,24.0
2021/09/30,13.1,18.1,15.600000000000001,3.4,2.0,0.4,24.0
2022/02/19,13.3,21.9,17.6,0.6,6.2,12.4,26.0
2021/02/13,14.7,20.8,17.75,0.0,6.0,4.9,35.0
2021/06/04,10.0,13.6,11.8,2.0,1.2,2.0,37.0
2021/02/28,10.6,26.7,18.65,0.0,2.4,9.2,26.0
2021/04/09,13.8,17.3,15.55,6.2,6.4,7.9,35.0
2022/02/20,12.7,23.8,18.25,0.0,7.2,5.6,39.0
2022/03/11,12.0,20.3,16.15,0.0,4.6,4.4,31.0
2021/12/24,11.9,26.4,19.15,0.0,6.4,13.1,26.0
2021/09/10,11.4,18.8,15.100000000000001,0.0,6.2,2.9,39.0
2021/11/10,11.7,15.2,13.45,10.0,5.0,2.3,26.0
2022/03/10,11.8,20.4,16.1,0.0,6.6,11.6,37.0
2022/01/07,20.1,25.8,22.950000000000003,1.4,7.8,5.2,28.0
