,Binned_Total_Demand,Binned Minimum temperature (°C),Binned Maximum temperature (°C),Binned Mean Temperature (°C),Binned Rainfall (mm),Binned Evaporation (mm),Binned Speed of maximum wind gust (km/h),Binned TOTAL DEMAND
233,5,8,5,5,0,3,4,5
234,5,7,5,5,0,2,6,5
235,3,1,1,0,0,1,4,3
236,5,5,3,3,0,4,5,5
237,11,2,0,0,0,0,4,11
238,4,5,4,3,37,5,5,4
239,4,3,1,1,14,4,12,4
240,5,4,8,5,0,5,4,5
241,6,9,5,6,0,7,10,6
242,4,8,4,5,165,4,4,4
243,8,9,8,7,25,0,2,8
244,5,8,10,7,0,10,9,5
245,11,9,11,8,0,7,9,11
246,5,5,4,3,0,6,8,5
247,3,6,6,5,0,5,7,3
248,10,3,0,1,0,1,4,10
249,6,5,8,5,0,3,1,6
250,5,8,4,5,0,4,4,5
251,6,7,5,4,0,2,1,6
252,0,4,5,3,0,6,8,0
253,4,4,3,3,0,4,1,4
254,4,6,3,3,5,3,7,4
255,4,6,5,4,0,3,2,4
256,4,7,5,5,0,6,8,4
257,8,8,11,8,0,9,9,8
258,7,7,6,5,0,4,1,7
259,3,6,4,4,14,3,4,3
260,2,5,5,4,0,3,6,2
261,5,4,1,2,3,3,7,5
262,4,6,4,4,0,3,8,4
263,8,3,2,2,3,2,10,8
264,6,7,6,5,0,10,11,6
265,4,4,4,3,0,2,6,4
266,7,5,2,2,1,2,4,7
267,9,0,2,0,0,1,4,9
268,5,6,6,5,0,4,5,5
269,8,4,2,2,67,2,8,8
270,3,5,7,5,7,5,7,3
271,4,9,8,7,0,3,6,4
272,8,2,1,1,44,0,1,8
273,5,6,6,5,0,4,2,5
274,12,10,10,8,0,8,4,12
275,1,4,4,3,0,2,4,1
276,10,1,2,1,0,2,10,10
277,4,5,3,3,4,2,14,4
278,8,3,1,1,132,3,7,8
279,8,3,3,2,0,2,5,8
280,10,8,9,7,0,6,9,10
281,10,1,1,0,0,2,9,10
282,8,7,9,7,0,5,5,8
283,7,5,3,3,0,5,4,7
284,7,9,8,7,0,7,7,7
285,8,2,1,1,18,1,6,8
286,5,4,4,3,0,2,5,5
287,5,1,3,1,0,1,2,5
288,7,3,1,1,18,0,4,7
289,4,7,4,4,0,4,8,4
290,9,1,2,1,0,0,7,9
291,2,5,2,3,0,2,6,2
292,7,4,1,1,3,5,10,7
293,7,8,8,7,1,6,11,7
294,9,3,2,1,7,1,8,9
295,8,3,3,2,0,1,0,8
296,9,8,7,6,0,5,3,9
297,6,8,5,5,0,7,4,6
298,7,3,2,2,0,1,11,7
299,6,9,5,5,0,2,8,6
300,8,8,8,6,0,3,5,8
301,5,5,7,5,0,6,9,5
302,9,2,1,1,2,1,2,9
303,5,4,5,4,0,4,7,5
304,3,6,2,3,194,2,7,3
305,4,5,3,3,0,2,5,4
306,3,5,4,4,0,1,6,3
307,4,5,2,2,62,6,7,4
308,5,1,4,2,0,2,2,5
309,7,4,1,2,0,1,4,7
310,9,3,1,1,20,2,6,9
311,4,4,3,2,0,2,2,4
312,6,2,2,1,17,1,10,6
313,5,6,3,3,1,5,5,5
314,3,4,3,3,0,6,10,3
315,7,2,1,1,24,2,6,7
316,11,10,9,8,6,10,8,11
317,8,2,1,1,0,2,5,8
318,2,4,1,1,8,1,8,2
319,6,9,8,7,0,2,4,6
320,9,4,2,2,12,1,8,9
321,6,7,2,3,0,4,4,6
322,4,7,3,4,13,6,8,4
323,3,4,4,3,0,4,2,3
324,7,2,3,2,0,2,4,7
325,7,9,5,5,0,5,6,7
326,7,1,1,0,0,0,1,7
327,7,7,9,6,0,5,4,7
