Date,Minimum temperature (°C),Maximum temperature (°C),Mean Temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Speed of maximum wind gust (km/h)
2021/05/16,0.28342245989304815,0.15909090909090906,0.1782945736434109,0.004405286343612335,0.22058823529411764,0.23357664233576644,0.32786885245901637
2021/07/30,0.26737967914438504,0.13636363636363633,0.15503875968992248,0.0,0.1911764705882353,0.4671532846715329,0.7540983606557377
2021/05/05,0.22459893048128343,0.22727272727272727,0.1963824289405685,0.0,0.05882352941176471,0.6642335766423357,0.2459016393442623
2021/02/22,0.6898395721925135,0.3977272727272727,0.537467700258398,0.0,0.20588235294117646,0.45985401459854014,0.45901639344262296
2022/03/15,0.8181818181818182,0.6136363636363635,0.7467700258397932,0.04405286343612335,0.4558823529411765,0.26277372262773724,0.26229508196721313
2022/03/13,0.5882352941176471,0.7007575757575757,0.6950904392764857,0.0,0.4264705882352941,0.8467153284671532,0.45901639344262296
2021/10/16,0.43315508021390375,0.17803030303030298,0.2635658914728683,0.5814977973568282,0.11764705882352942,0.24817518248175183,0.639344262295082
2021/06/29,0.06417112299465241,0.20454545454545447,0.10335917312661498,0.0,0.16176470588235295,0.6423357664233578,0.45901639344262296
2021/08/27,0.08556149732620319,0.08712121212121207,0.033591731266149887,0.0,0.08823529411764706,0.2773722627737226,0.0
2021/11/09,0.26737967914438504,0.3409090909090909,0.29457364341085274,0.0,0.3088235294117647,0.6715328467153284,0.11475409836065574
2021/09/16,0.08021390374331551,0.17803030303030298,0.09302325581395351,0.0,0.25,0.6642335766423357,0.06557377049180328
2021/03/23,0.7807486631016044,0.4053030303030302,0.5865633074935401,0.30396475770925113,0.04411764705882353,0.043795620437956206,0.2459016393442623
2022/01/16,0.8181818181818182,0.7803030303030302,0.8604651162790699,0.0,0.4264705882352941,0.8467153284671532,0.14754098360655737
2021/12/13,0.6577540106951872,0.8106060606060607,0.8036175710594315,0.0,0.5882352941176471,0.6058394160583942,0.5737704918032787
2022/03/01,0.8983957219251337,0.5492424242424242,0.7416020671834626,0.0,0.27941176470588236,0.08029197080291972,0.08196721311475409
2021/12/08,0.4117647058823529,0.22727272727272727,0.2868217054263566,0.04405286343612335,0.22058823529411764,0.635036496350365,0.45901639344262296
2021/11/25,0.663101604278075,0.20454545454545447,0.392764857881137,0.0,0.3088235294117647,0.0,0.26229508196721313
2021/02/20,0.9251336898395722,0.47348484848484845,0.702842377260982,0.0,1.0,0.43065693430656937,0.29508196721311475
2021/08/29,0.3262032085561497,0.18560606060606052,0.21705426356589141,0.013215859030837005,0.4705882352941177,0.31386861313868614,0.29508196721311475
2021/10/17,0.4171122994652407,0.23106060606060597,0.29198966408268734,0.00881057268722467,0.35294117647058826,0.40875912408759124,0.14754098360655737
2021/03/24,0.7486631016042781,0.3409090909090909,0.5271317829457364,0.013215859030837005,0.16176470588235295,0.12408759124087591,0.29508196721311475
2021/06/13,0.42245989304812837,0.17424242424242423,0.2558139534883721,0.0,0.10294117647058823,0.051094890510948905,0.03278688524590164
2021/07/24,0.24064171122994654,0.1174242424242424,0.12919896640826872,0.0,0.10294117647058823,0.24817518248175183,0.5409836065573771
2021/07/04,0.18716577540106952,0.06818181818181814,0.06976744186046518,0.004405286343612335,0.08823529411764706,0.25547445255474455,0.5081967213114754
2022/01/11,0.8288770053475936,0.6969696969696969,0.8087855297157623,0.0,0.5882352941176471,0.7883211678832118,0.32786885245901637
2022/01/09,0.7005347593582889,0.4015151515151514,0.5452196382428941,0.0,0.17647058823529413,0.708029197080292,0.2459016393442623
2021/04/25,0.36898395721925137,0.2462121212121212,0.2790697674418606,0.05726872246696035,0.08823529411764706,0.26277372262773724,0.14754098360655737
2021/09/30,0.5401069518716578,0.25757575757575757,0.36950904392764866,0.07488986784140969,0.14705882352941177,0.029197080291970805,0.14754098360655737
2022/02/19,0.5508021390374332,0.4015151515151514,0.47286821705426363,0.013215859030837005,0.4558823529411765,0.905109489051095,0.18032786885245902
2021/02/13,0.6256684491978609,0.3598484848484848,0.4806201550387597,0.0,0.4411764705882353,0.3576642335766424,0.32786885245901637
2021/06/04,0.37433155080213903,0.08712121212121207,0.17312661498708015,0.04405286343612335,0.08823529411764706,0.14598540145985403,0.36065573770491804
2021/02/28,0.40641711229946526,0.5833333333333333,0.5271317829457364,0.0,0.17647058823529413,0.6715328467153284,0.18032786885245902
2021/04/09,0.5775401069518717,0.22727272727272727,0.36692506459948326,0.13656387665198239,0.4705882352941177,0.5766423357664234,0.32786885245901637
2022/02/20,0.5187165775401069,0.47348484848484845,0.5064599483204134,0.0,0.5294117647058824,0.40875912408759124,0.39344262295081966
2022/03/11,0.4812834224598931,0.3409090909090909,0.39793281653746765,0.0,0.338235294117647,0.3211678832116789,0.26229508196721313
2021/12/24,0.47593582887700536,0.5719696969696968,0.5529715762273901,0.0,0.4705882352941177,0.9562043795620438,0.18032786885245902
2021/09/10,0.44919786096256686,0.28409090909090906,0.3436692506459949,0.0,0.4558823529411765,0.2116788321167883,0.39344262295081966
2021/11/10,0.4652406417112299,0.14772727272727265,0.25839793281653745,0.22026431718061676,0.36764705882352944,0.1678832116788321,0.18032786885245902
2022/03/10,0.4705882352941177,0.3446969696969696,0.3953488372093024,0.0,0.4852941176470588,0.8467153284671532,0.36065573770491804
2022/01/07,0.9144385026737969,0.5492424242424242,0.7493540051679588,0.030837004405286344,0.5735294117647058,0.3795620437956205,0.21311475409836064
2021/03/09,0.5614973262032086,0.3143939393939394,0.4186046511627907,0.11894273127753305,0.014705882352941178,0.5036496350364964,0.29508196721311475
2021/08/13,0.2727272727272727,0.23863636363636365,0.22739018087855306,0.0,0.08823529411764706,0.7372262773722628,0.29508196721311475
2021/11/21,0.4705882352941177,0.22348484848484843,0.31266149870801035,0.0,0.3970588235294118,0.6642335766423357,0.39344262295081966
2021/06/25,0.40641711229946526,0.0719696969696969,0.1782945736434108,0.013215859030837005,0.17647058823529413,0.021897810218978103,0.36065573770491804
2022/03/06,0.7272727272727274,0.3977272727272727,0.5555555555555557,0.10572687224669604,0.23529411764705885,0.09489051094890512,0.5081967213114754
2022/03/08,0.663101604278075,0.35606060606060597,0.496124031007752,0.04405286343612335,0.4264705882352941,0.24087591240875914,0.39344262295081966
