userid,utype,domain,followers,friends,total_tweets,years,per_rt,chars,chars_rt,commas,commas_rt,periods,periods_rt,quesmark,quesmark_rt,exmark,exmark_rt,colon,colon_rt,semi,semi_rt,punc,punc_rt,tagpermsg,tagpermsg_rt,mentpermsg,mentpermsg_rt,urlpermsg,urlpermsg_rt,percent_msgwithment,percent_msgwithment_rt,percent_msgwithtag,percent_msgwithtag_rt,percent_msgwithurl,percent_msgwithurl_rt,first,verb_phrase,noun_phrase,interj,stopwords,slang,sentiment,entity,active_vb,modal_vb,negative_vb,dt,num_en,org_avg_d,org_med,org_avg_d_np,org_med_np,org_avg_d_vp,org_med_vp,pot_org,rt_avg_d,rt_med,rt_avg_d_np,rt_med_np,rt_avg_d_vp,rt_med_vp,pot_rt,lexco,glowbe_glowbe_dist_minval,glowbe_glowbe_dist_min3val,glowbe_glowbe_dist_minval_rt,glowbe_glowbe_dist_min3val_rt,glowbe_us_count_minval,glowbe_us_count_min3val, topic_coherence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227311673,between100-10msgs,Fitness,435,432,6,2.936986301,0,126.3333333,0,0,0,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0.666666667,0,8,0,0,0,0,0,0,0,1,0,0,0,0.333333333,1.666666667,3.5,0,0.666666667,0.166666667,0.666666667,0,0.166666667,0,0,0,6,6.75,6.5,2.5,2,5.5,5.5,0.666666667,0,0,0,0,0,0,0,0,0.32987355,0.183848951,None,None,361,499,0.018014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2312450899,morethan100msgs,Technology,10863,1648,6,2.465753425,1,0,122.6666667,0,0.333333333,0,2.5,0,0,0,0,0,2.5,0,0,0,5.333333333,0,1.833333333,0,1,0,1,0,1,0,1,0,1,0,1.666666667,7,0,2.666666667,0,0,1.666666667,0,0,0.333333333,0.666666667,3,6,6,3,3,7,3.5,0.5,5.707865169,5,3.179775281,2,5.092307692,3,0.95505618,0.020062093,None,None,0.275920293,0.426871044,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4775778556,mentioned,Technology,112959,2100,3,6.78630137,0,131.3333333,0,0,0,1.666666667,0,0.333333333,0,0,0,1.333333333,0,0,0,3.333333333,0,0.666666667,0,0.333333333,0,1,0,0.333333333,0,0.666666667,0,1,0,0.333333333,3.333333333,7.666666667,0,5.666666667,0.333333333,1,1.333333333,0.333333333,0,2,0.666666667,3,6.308823529,6,3.588235294,2,5.517857143,5,0.955882353,6.2,5,2.8,2,5,4,1,0.039533122,0.291234186,0.173729639,None,None,290,3847,0.007041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383959893,between10-3msgs,Technology,170,245,24,4.660273973,0,109.375,0,0.041666667,0,1.166666667,0,0.083333333,0,0.125,0,1.75,0,0.041666667,0,3.208333333,0,3.458333333,0,0,0,0.958333333,0,0,0,1,0,0.958333333,0,0.913043478,0.434782609,3.52173913,0.304347826,0.826086957,1.217391304,0.086956522,0.652173913,0.173913043,0.913043478,0.565217391,0.217391304,23,3.5,3,2.291666667,2,4,0,0.958333333,0,0,0,0,0,0,0,0.015554707,0.338119575,0.202714228,None,None,None,None,None,0.089631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236240017,Random,Unknown,780,266,47,5.490410959,0.468085106,41.68,90.5,0.04,0.363636364,0.32,1.545454545,0.08,0.090909091,0.12,0.045454545,0.04,2.772727273,0,0.136363636,0.6,4.954545455,0.04,0.090909091,1.12,1.136363636,0,0,1,1,0.04,0.045454545,0,0,0.387096774,1.161290323,2.709677419,0.741935484,2.35483871,0.580645161,0.548387097,0.096774194,0.483870968,0.193548387,0.709677419,0.483870968,31,3.863636364,3,2.142857143,2,4.3,0,0.4,6.909090909,7,3.045454545,2,6.1,6,0.863636364,0.009572427,0.504649173,0.302143959,0.467909182,0.278824405,None,None,None,0.121206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7314314721,morethan100msgs,Science,275,73,144,4.41369863,0.027777778,114.2785714,130.5,0,0,2.114285714,3.5,0,0,0,0,2,2,0.021428571,0.25,4.135714286,5.75,1,1,0,0,1,1,0,0,1,1,1,1,0.188811189,0.86013986,3.958041958,0,1.692307692,0.258741259,0.06993007,1.076923077,0.041958042,0.062937063,0.286713287,0.223776224,143,5.35,5,3.042857143,3,4.645454545,4,0.992857143,5.5,5.5,2.75,2.5,3.5,3.5,1,0.06476076,0.412079953,0.243348713,0.469923133,0.275128612,None,None,None,0.213059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298251445,between100-10msgs,Science,759,1,2315,2.364383562,0.005183585,102.7181937,104.25,0.249674338,0.333333333,1.102040816,1.166666667,0.017802866,0,0.004776379,0.083333333,1.267042987,1.166666667,0.105514546,0.25,2.746851932,3,0.875814155,0.916666667,0,0,1.045592705,1,0,0,0.875814155,0.916666667,1,1,0.264975951,1.054656756,3.680367293,0.013992129,1.737210319,0.381285527,0.177087888,1.734149541,0.120682116,0.110188019,0.43025798,0.299519021,2287,5.21363439,5,2.802780191,2,4.327272727,3,0.998263135,5.416666667,5,3.083333333,2,4.888888889,4,1,0.01338443,0.430452822,0.252251765,0.474818797,0.276144351,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084258330,morethan100msgs,Business,1229,1187,58,0.638356164,0.137931034,141.52,122.875,0.08,0.5,0.1,1.625,0.02,0,0,0,0.04,2.25,1,0,1.24,4.375,5.02,1.375,0,1.125,0.04,1.25,0,1,0.96,1,0.04,1,1.519230769,2.384615385,5.461538462,0.057692308,4.153846154,1.269230769,0.25,0.038461538,0.423076923,1.019230769,1.75,1.057692308,52,8.58,8,5.2,5,7.02,6,1,7.25,6.5,2.75,2,5.75,5,1,0.04006716,0.424239355,0.253971589,0.501958611,0.294783632,None,None,None,0.073968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2690520730,morethan100msgs,Fitness,29,285,97,1.761643836,1,0,139.5257732,0,0.051546392,0,1.835051546,0,0,0,0.010309278,0,3,0,0.010309278,0,4.907216495,0,7.721649485,0,1,0,1,0,1,0,1,0,1,0.06122449,0.06122449,1.530612245,0,0.326530612,0.12244898,0,1.163265306,0,0.06122449,0.102040816,0.12244898,49,0,0,0,0,0,0,0,2.625,2,2.376344086,2,3.090909091,0,0.329896907,0.022602398,None,None,0.283328568,0.473913966,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9989018696,Random,Unknown,1574,1110,8,5.02739726,1,0,84.625,0,0.375,0,1,0,0,0,0.25,0,1.125,0,0,0,2.75,0,0.875,0,1,0,0,0,1,0,0.875,0,0,0,1.75,3,0,3.25,1.25,0.5,0,0.75,1.25,1.75,1.5,4,0,0,0,0,0,0,0,7.285714286,7,4.428571429,3,6.142857143,6,0.875,0.037862319,None,None,0.258982882,0.411971753,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
